ENERC;CHOAVL;FAT;PROT;FIBC;STARCH;SUGAR;FASAT;NACL
1698.30;99.900;0;0;0;0;99.900;0;0.25
1696.60;99.800;0;0;0;0;99.800;0;0.25
1261.40;74.100;0;0.10;0;0;74.100;0;127.40
1382.10;80.800;0;0.50;0;0;80.800;0;5.61
1487.50;87.000;0;0.5;0;33.50;53.500;0;254.80
2180.61;53.900;28.900;10.13;2.200;3.00;50.900;17.0345;305.76
1358.84;55.302;9.570;3.54;0;1.16;54.147;5.6254;299.90
1096.14;58.575;0.4;4.38;1.400;15.00;43.575;0;1528.80
1299.69;75.000;0.1;0.10;1.8;15;60.000;0;183.46
2038.03;47.600;26.9;12.89;1.800;5.40;42.200;2.1355;127.40
1750.67;74.300;12.3;1.91;0;0;74.300;9.8019;433.16
1240.10;63.000;0.2;0.1;20;30;33.000;0.1;407.68
2135.87;56.000;28.000;7.10;3.105;1.29;55.170;14.8896;126.15
1547.60;11.000;21.7;18.5;30.4;11;0;10.0540;147.78
1672.14;77.400;6.500;6.44;0.800;3.6;73.800;3.0162;254.80
1000.00;0;0;0;0;0;0;0;0
1459.41;0;0.100;85.63;0;0;0;0;0
311.74;1.100;0.400;13.12;6.900;1.10;0;0;11.21
1490.15;86.000;0.600;0.35;0;86.00;0;0;2.55
549.67;14.100;6.000;4.38;1.700;0;14.100;0.6520;2955.68
79.11;3.000;0.600;0;0.015;2.89;0.108;0.2991;899.44
10.71;0;0;0.63;0;0;0;0;98607.60
252.35;9.500;0.08;5.17;0;6.50;3.000;0.0090;15033.20
2177.78;53.260;31.000;4.88;5.3;2.86;50.400;16.0534;25.48
2261.13;50.000;33.000;10.13;1.6;0;50.000;17.0345;254.80
1703.05;30.600;22.5;16.45;8.610;0.35;30.250;4.7318;46.45
812.00;0;0;0;34;0;0;0;178.36
5.27;0;0;0.31;0;0;0;0;53508.00
1952.05;1.700;36.650;2.3;3.5;1.7;0;21.8493;18.35
1248.60;16.492;21;11.00;0.5;9.10;7.392;9.8153;48412.00
1700.00;97.000;0;3.00;0;97.00;0;0;0
1763.49;54.646;18.000;7.01;4.702;10.89;43.761;0.5903;109.75
1702.22;77;2.16;11.7;14.3;67.2;9.8;0.250;5.10
2130.44;60;26;8;1.2;2;58;12.6921;254.80
1000.36;0;0.780;0.50;0;0;0;0;2.42
1769.54;69.126;13.000;5.47;2.200;17.03;52.096;9.1986;282.32
773.20;0;0;0;2.4;0;0;0;61.15
1595.10;92.700;0;0;2.4;11.7;81.000;0;61.15
1412.92;81.600;0.250;0.31;1.400;80.70;0.900;0;9.43
1085.60;60.600;0.2;0;6;1.90;58.700;0;254.80
0;0;0;0;0;0;0;0;26881.40
1662.13;48.038;16.980;8.39;5.335;0;48.038;9.9891;577.12
735.00;37.800;0;5.2;0.500;37.80;0;0;30066.40
38.33;0;0.200;1.82;0;0;0;0.0666;407.68
0;0;0;0;0;0;0;0;98607.60
1354.78;59.391;1.930;9.560;13.900;57.500;1.891;0.2350;2.55
1231.72;52.000;2.0;9.56;13.900;49.60;2.400;0.2490;12.74
1540.89;73.998;1.560;11.600;3.500;72.800;1.198;0.2035;2.55
1438.81;61.723;2.460;12.900;9.900;60.200;1.523;0.3164;2.55
1345.40;63.600;1.100;11.50;3.500;63.20;0.400;0.1526;7.64
1290.00;59.400;1.1;11.50;5.500;58.90;0.500;0.1526;12.74
1401.80;58.700;2.200;12.90;12.900;58.00;0.700;0.2403;10.19
1508.29;31.000;10.000;29.37;14.000;14.60;16.400;1.2223;5.86
1009.96;16.907;4.620;14.800;37.500;14.800;2.107;0.6565;2.55
1417.30;66.400;1.100;13.00;3.350;65.90;0.500;0.1833;7.64
1486.10;65.700;2.5;13.5;5.900;65.20;0.500;0.3094;7.64
1467.02;66.400;3.300;11.16;3.300;65.90;0.500;1.1558;5.10
1411.40;66.400;1.4;12.00;3.350;65.90;0.500;0.1833;7.64
445.83;19.710;0.750;4.05;1.770;19.56;0.150;0.0928;4.08
1520.15;68.574;2.370;13.100;5.500;66.700;1.874;0.3024;2.55
1312.80;59.400;1.86;11.19;5.500;58.90;0.500;0.2365;2.55
1533.03;73.621;1.552;11.54;3.482;72.43;1.192;0.2025;12.41
1786.86;78.800;7.400;8.18;4.300;77.7;1.100;1.3444;840.84
1466.90;70.000;1.400;11.50;3.700;69.6;0.400;0.1833;2.55
1369.85;64.400;2.000;8.25;7.600;63.5;0.900;0.3233;2.55
1348.60;63.150;2.000;8.25;7.600;62.2;0.950;0.3233;6.12
1382.70;64.450;2.000;8.25;9.100;63.5;0.950;0.3233;12.74
1598.91;59.990;7.240;13.600;10.000;58.800;1.190;1.2599;2.55
1358.23;57.650;4.29;8.25;9.900;56.90;0.750;0.5899;917.28
1432.52;75.600;0.700;6.06;2.300;75.20;0.400;0.0693;15.29
1515.17;71.350;2.92;7.94;7.400;70;1.350;0.5670;15.29
1493.75;68.800;2.9;11.25;3.200;68.2;0.600;0.6000;7.64
1350.01;60.450;2.000;11.88;5.800;60.00;0.450;0.3000;5.10
1401.27;81.600;0.050;0.06;1.400;80.70;0.900;0;9.43
1577.63;82.100;0.800;7.69;2.700;74.10;8.000;0.0129;1783.60
1482.69;55.400;6.8;12.69;9.200;54.4;1.000;0.9345;2.55
1338.10;56.800;1.600;11.70;14.300;47.00;9.800;0.2500;16.56
1574.58;52.190;7.350;16.200;17.500;50.800;1.390;1.2599;2.55
1495.15;67.073;2.657;13.52;3.350;65.90;1.173;0.5395;54.91
1511.00;65.091;3.7;13;5.820;64.5;0.591;0.6139;2.55
1288.82;52.900;2.460;12.90;9.900;50.30;2.600;0.3164;2.55
1372.94;57.129;2.520;9.630;18.100;55.800;1.329;0.2703;2.55
560.53;21.280;0.871;2.43;2.207;20.88;0.403;0.1691;6.35
1538.63;79.300;1.4;7.69;1.000;78.9;0.400;0.3000;15.29
1515.17;71.350;2.920;7.94;7.400;70.00;1.350;0.5670;15.29
1997.83;60.000;22.600;7.63;1.501;58.90;1.100;1.5106;2191.28
1442.96;76.180;1.200;5.5;1.250;65;11.180;0.1701;127.40
448.55;20.122;0.797;4.06;1.005;19.77;0.352;0.1618;18.26
436.58;19.588;0.824;3.83;0.988;19.44;0.147;0.0869;4.04
